Time,Temp,Z,cumZ,Soot
11617.2,604.9617391304348,1203.56,48650890.31084443,6.15530754
11663.3,606.5170199999999,1194.3400000000001,48706161.90584443,5.56380039
11709.4,608.0284226086957,1185.4396000000002,48761015.82562443,5.00314299
11755.5,609.552645652174,1177.787,48815488.19875443,4.47339538
11801.6,611.0612017391304,1170.1824000000001,48869608.89342443,3.97157661
11847.7,612.575973478261,1163.9127999999998,48923409.78778443,3.49764666
11893.8,614.0825852173913,1157.6432,48976921.65358443,3.05198565
11939.9,615.5879597826087,1152.0918,49030161.04533443,2.6343135
11986.0,617.0390173913044,1146.652,49083147.08992443,2.24386996
12032.1,618.5544276086956,1142.1752,49135904.55688443,1.87985479
12078.2,620.0947347826087,1138.1184,49188465.32436443,1.54194787
12124.3,621.6324454347825,1134.5962,49240851.39589443,1.22906888
12170.4,623.2016782608696,1131.5536,49293086.14878443,0.94011745
12216.5,624.7086358695652,1128.0159999999998,49345169.22806443,0.67397325
12262.6,626.2147473913043,1123.5904,49397068.75558443,0.42997604
12308.7,627.7328067391305,1119.5302,49448772.68541443,0.2073456
12354.8,629.32214,1117.0408,49500325.64696443,0.00546173
12400.9,630.8132252173913,1114.5585999999998,49551764.013134435,-0.176956
12447.0,632.3415195652174,1112.4379999999999,49603096.28476444,-0.341328
12493.1,633.8586813043479,1110.3174,49654330.79673444,-0.4887746
12539.2,635.3988,1110.0,49705509.112804435,-0.6202763
12585.3,636.9558008695652,1110.0,49756680.112804435,-0.7368131
12631.4,638.4917634782609,1106.8600000000001,49807778.73580444,-0.8396657
12677.5,640.0248565217391,1102.25,49858698.72130444,-0.9295941
12723.6,641.5507,1100.0,49909460.583804436,-1.0077789
12769.7,643.1327699999999,1100.0,49960170.583804436,-1.0756003
12815.8,644.601666521739,1100.0,50010880.583804436,-1.1338988
12861.9,646.1266995652173,1100.0,50061590.583804436,-1.1836545
12908.0,647.689,1100.0,50112300.583804436,-1.2257878
12954.1,649.2421873913044,1100.0,50163010.583804436,-1.2613991
13000.2,650.71189,1100.0,50213720.583804436,-1.2914086
13046.3,652.2199143478261,1100.0,50264430.583804436,-1.3163165
13092.4,653.7604356521739,1100.0,50315140.583804436,-1.3367429
13138.5,655.308027173913,1099.692,50365843.48440444,-1.3533282
13184.6,656.8658821739131,1099.3232,50416530.78476444,-1.3666924
13230.7,658.3695145652174,1096.3756,50467141.64210444,-1.3774158
13276.8,659.9115547826087,1092.1344000000001,50517586.797604434,-1.3856184
13322.9,661.4453823913044,1090.0,50567884.995524436,-1.3917804
13369.0,663.009447826087,1090.0,50618133.995524436,-1.3968019
13415.1,664.5236310869566,1090.0,50668382.995524436,-1.4009032
13461.2,666.0705660869565,1090.0,50718631.995524436,-1.4041843
13507.3,667.6038863043478,1090.0,50768880.995524436,-1.4067651
13553.4,669.1150104347826,1090.0,50819129.995524436,-1.4086457
13599.5,670.6456891304348,1090.0,50869378.995524436,-1.4100061
13645.6,672.1420417391305,1090.0,50919627.995524436,-1.4112665
13691.7,673.7042795652175,1090.0,50969876.995524436,-1.412787
13737.8,675.1862039130434,1090.0,51020125.995524436,-1.4144075
13783.9,676.7206699999999,1090.0,51070374.995524436,-1.4162081
13830.0,678.2848347826086,1090.0,51120623.995524436,-1.4182087
13876.1,679.8472754347827,1090.0,51170872.995524436,-1.4202094
13922.2,681.3941095652175,1087.8244,51221071.84794444,-1.42231
13968.3,682.9091267391304,1083.3066000000001,51271116.41749444,-1.4243907
14014.4,684.4002834782608,1080.1712,51320984.58078444,-1.4266514
14060.5,685.9007445652173,1080.079,51370778.34789444,-1.4293923
14106.6,687.4401847826088,1080.0,51420568.16884444,-1.4325132
14152.7,688.9432013043479,1080.0,51470356.16884444,-1.4356342
14198.8,690.5369104347826,1080.0,51520144.16884444,-1.4385352
14244.9,692.0338917391304,1080.0,51569932.16884444,-1.4415961
14291.0,693.5940717391304,1080.0,51619720.16884444,-1.4471379
14337.1,695.1164308695652,1080.0,51669508.16884444,-1.4528397
14383.2,696.6563269565218,1080.0,51719296.16884444,-1.4555605
14429.3,698.2341095652174,1077.2458000000001,51769020.68453444,-1.4572211
14475.4,699.7370660869565,1072.9124,51818581.831044436,-1.4586615
14521.5,701.3058804347826,1070.471,51867986.818414435,-1.460022
14567.6,702.8303460869565,1070.1943999999999,51917329.15588444,-1.4612223
