t,Resistance,Soot left-mg
841.0,1514.4659261,0.5001547907071583
842.0,1513.7803372,0.5001538923774403
843.0,1513.0947483,0.5001529940477223
844.0,1512.4091594000001,0.5001520957180043
845.0,1511.7235705,0.5001511973882863
846.0,1511.0379816,0.5001502990585683
847.0,1510.3523927,0.5001494007288503
848.0,1509.6668038,0.5001485023991323
849.0,1508.9812149000002,0.5001476040694143
850.0,1508.295626,0.5001467057396963
851.0,1507.6162136,0.5001458074099783
852.0,1506.9368012,0.5001449090802603
853.0,1506.2573888000002,0.5001440107505423
854.0,1505.5779764000001,0.5001431124208243
855.0,1504.898564,0.5001422140911063
856.0,1504.2191516,0.5001413157613883
857.0,1503.5397392,0.5001404174316703
858.0,1502.8603268000002,0.5001395191019522
859.0,1502.1809144000001,0.5001386207722343
860.0,1501.501502,0.5001377224425162
861.0,1501.7272916000002,0.5001368241127983
862.0,1501.9530812,0.5001359257830802
863.0,1502.1788708,0.5001350274533622
864.0,1502.4046604,0.5001341291236442
865.0,1502.63045,0.5001332307939262
866.0,1502.8562396,0.5001323324642082
867.0,1503.0820291999999,0.5001314341344902
868.0,1503.3078188,0.5001305358047722
869.0,1503.5336084,0.5001296374750542
870.0,1503.759398,0.5001287391453362
871.0,1503.9858678,0.5001278408156182
872.0,1504.2123376,0.5001269424859002
873.0,1504.4388073999999,0.5001260441561822
874.0,1504.6652772,0.5001251458264642
875.0,1504.8917470000001,0.5001242474967462
876.0,1505.1182168,0.5001233294208243
877.0,1505.3446866,0.5001222336290673
878.0,1505.5711564,0.5001211378373102
879.0,1505.7976262000002,0.5001200420455532
880.0,1506.024096,0.500118946253796
881.0,1505.5718366,0.500117850462039
882.0,1505.1195772,0.500116754670282
883.0,1504.6673178,0.5001156588785249
884.0,1504.2150584,0.5001145630867679
885.0,1503.762799,0.5001134672950108
886.0,1503.3105396,0.5001123715032538
887.0,1502.8582802,0.5001112757114967
888.0,1502.4060208,0.5001101799197397
889.0,1501.9537614,0.5001090841279827
890.0,1501.501502,0.5001079883362256
891.0,1501.0519506,0.5001068925444686
892.0,1500.6023992,0.5001057967527115
893.0,1500.1528478,0.5001047009609545
894.0,1499.7032964,0.5001036051691974
895.0,1499.253745,0.5001025093774404
896.0,1498.8041936,0.5001014135856833
897.0,1498.3546422,0.5001003177939263
898.0,1497.9050908,0.5000992220021693
899.0,1497.4555394,0.5000981262104122
900.0,1497.005988,0.5000970304186552
901.0,1496.5591204999998,0.500095934626898
902.0,1496.112253,0.500094838835141
903.0,1495.6653855,0.5000937430433839
904.0,1495.218518,0.5000926472516269
905.0,1494.7716504999999,0.5000915514598698
906.0,1494.324783,0.5000904556681128
907.0,1493.8779155,0.5000893598763558
908.0,1493.431048,0.5000882640845987
909.0,1492.9841805,0.5000871682928417
910.0,1492.537313,0.5000860725010846
911.0,1491.8719918000002,0.5000849767093276
912.0,1491.2066706,0.5000838809175705
913.0,1490.5413494,0.5000827851258135
914.0,1489.8760282,0.5000816893340565
915.0,1489.2107070000002,0.5000805935422994
916.0,1488.5453858,0.5000794977505424
917.0,1487.8800646,0.5000784019587853
918.0,1487.2147434,0.5000773061670283
919.0,1486.5494222000002,0.5000762103752712
920.0,1485.884101,0.5000751145835142
921.0,1485.443839,0.5000740187917571
922.0,1485.0035770000002,0.5000729230000001
923.0,1484.563315,0.5000716167310196
924.0,1484.123053,0.5000703104620391
925.0,1483.6827910000002,0.5000690041930587
926.0,1483.242529,0.5000676979240781
927.0,1482.802267,0.5000663916550977
928.0,1482.362005,0.5000650853861172
929.0,1481.921743,0.5000637791171367
930.0,1481.481481,0.5000624728481562
931.0,1481.0438203,0.5000611665791758
932.0,1480.6061596,0.5000598603101952
933.0,1480.1684989,0.5000585540412148
934.0,1479.7308382,0.5000572477722343
935.0,1479.2931775000002,0.5000559415032538
936.0,1478.8555168,0.5000546352342734
937.0,1478.4178561,0.5000533289652929
938.0,1477.9801954000002,0.5000520226963124
939.0,1477.5425347,0.5000507164273319
940.0,1477.104874,0.5000494101583515
941.0,1477.7623391000002,0.5000481038893709
942.0,1478.4198042,0.5000467976203905
943.0,1479.0772693000001,0.50004549135141
944.0,1479.7347344,0.5000441850824295
945.0,1480.3921995,0.500042878813449
946.0,1481.0496646000001,0.5000415725444686
947.0,1481.7071297,0.500040266275488
948.0,1482.3645948,0.5000389600065076
949.0,1483.0220599,0.5000376537375272
950.0,1483.679525,0.5000363474685466
951.0,1484.5653038,0.5000350411995662
952.0,1485.4510826,0.5000337349305857
953.0,1486.3368614,0.5000324286616052
954.0,1487.2226402000001,0.5000311223926247
955.0,1488.1084190000001,0.5000298161236443
956.0,1488.9941978,0.5000285098546637
957.0,1489.8799766,0.5000272035856833
958.0,1490.7657554,0.5000258973167028
959.0,1491.6515342,0.5000245910477223
960.0,1492.537313,0.5000232847787418
961.0,1492.0931055,0.5000219785097614
962.0,1491.6488980000001,0.500020672240781
963.0,1491.2046905,0.5000193659718004
964.0,1490.760483,0.50001805970282
965.0,1490.3162755,0.5000167534338394
966.0,1489.8720680000001,0.500015447164859
967.0,1489.4278605000002,0.5000141408958785
968.0,1488.983653,0.500012834626898
969.0,1488.5394455,0.5000113311144251
970.0,1488.095238,0.5000098056860086
971.0,1487.4338623,0.5000082802575921
972.0,1486.7724866,0.5000067548291757
973.0,1486.1111109,0.5000052294007592
974.0,1485.4497352,0.5000037039723427
975.0,1484.7883595,0.5000021785439263
