Time-DC,Temp-DC,Resistance,Soot left-mg
8851.2,506.8724,225.7336343,0.36465657735
8897.3,508.4955,226.7573696,0.3599613918
8943.4,509.9378,228.3105023,0.3551440676
8989.5,511.498,229.331555885,0.3502142078
9035.6,512.9093,230.9468822,0.34517871455
9081.7,514.4858,232.11028976000006,0.3400230833
9127.8,516.0724,233.6448598,0.33472950840000004
9173.9,517.5216,235.2941176,0.32932129725000003
9220.0,519.0895,236.9668246,0.3238065524
9266.1,520.4752,238.6634845,0.3182029794
9312.2,522.0252,239.93497511800004,0.31250577684999997
9358.3,523.6511,242.03132492699996,0.30669193735
9404.4,525.109,243.902439,0.30077066385
9450.5,526.5379,245.73050435000002,0.2947480583
9496.6,528.0495,247.93012799800002,0.28863392375
9542.7,529.5691,249.3765586,0.28244986715
9588.8,531.064,250.6265664,0.27619858925
9634.9,532.5772,253.164557,0.26985788305
9681.0,534.077,254.4529262,0.2634550572
9727.1,535.707,255.1020408,0.25699831424999997
9773.2,537.1779,256.621185136,0.25048555364999997
9819.3,538.7701,258.3979328,0.24394118299999998
9865.4,540.3142,259.0673575,0.23733209185
9911.5,541.7439,260.4166667,0.2306911907
9957.6,543.2529,261.7801047,0.22405289034999998
10003.7,544.7462,262.4671916,0.217405187
10049.8,546.2996,263.1578947,0.2107549829
10095.9,547.8723,263.8522427,0.20410107759999999
10142.0,549.3611,264.69060956,0.1974497731
10188.1,550.8752,265.2519894,0.19081227299999998
10234.2,552.4601,265.2519894,0.18419237845000003
10280.3,553.9785,265.2519894,0.1775963915
10326.4,555.4691,264.80288552800005,0.1710546217
10372.5,556.9509,264.7256958,0.164582874
10418.6,558.4974,264.5502646,0.1581785477
10464.7,560.0107,263.8522427,0.1518375414
10510.8,561.3956,262.4671916,0.14557085860000002
10556.9,563.0417,261.7801047,0.13936899635
10603.0,564.5438,260.892624,0.1332376564
10649.1,566.0897,259.127918698,0.12720014615
10695.2,567.5789,258.3979328,0.1212648682
10741.3,569.0952,257.0694087,0.11544232595000001
10787.4,570.6666,256.581635998,0.10972761780000001
10833.5,572.0729,255.1020408,0.10414235064999999
10879.6,573.5992,253.8071066,0.098701029
10925.7,575.0809,251.8891688,0.0933836466
10971.8,576.7017,251.14293270000005,0.08817709925
11017.9,578.1616,250.131578944,0.0831014933
11064.0,579.6769,248.7562189,0.0781751346
11110.1,581.2422,246.90749858499998,0.0733903207
11156.2,582.7682,245.7002457,0.06875235325000001
11202.3,584.235,244.4987775,0.0642611322
11248.4,585.7254,243.3090024,0.059923659850000005
11294.5,587.2187,241.867564995,0.0557475385
11340.6,588.7234,240.35002768599998,0.05172356534999999
11386.7,590.2468,238.85190304899996,0.04784493815
11432.8,591.7405,237.5296912,0.04411925935
11478.9,593.2344,236.9668246,0.04055073025000001
11525.0,594.7792,235.5715871,0.0371393509
11571.1,596.3427,234.13184795299998,0.03388352075
11617.2,597.8757,232.70992570799996,0.0307765377
11663.3,599.4221,231.30506373100005,0.027819001949999998
11709.4,600.8837,229.91683884,0.02501571495
11755.5,602.3359,228.8329519,0.022366976900000002
11801.6,603.9521,227.2727273,0.01985788305
11847.7,605.4091,225.85109750799995,0.0174882333
11893.8,607.0277,224.7191011,0.01525992825
11939.9,608.5184,223.219279308,0.013171567500000002
11986.0,610.0007,221.92658288,0.0112193498
12032.1,611.4788,220.7505519,0.00939927395
12078.2,613.0071,219.7802198,0.00770973935
12124.3,614.5601,218.3406114,0.0061453444
12170.4,615.9891,216.9197397,0.00470058725
12216.5,617.5015,215.9827214,0.00336986625
12262.6,618.9546,214.47280147599997,0.0021498802
12308.7,620.5466,213.27884387499995,0.001036728
12354.8,621.9974,212.09831231600003,2.7308649999999998e-05
12400.9,623.5347,210.93049075300002,-0.00088478
12447.0,625.0047,209.77573421,-0.0017066400000000002
12493.1,626.5512,208.63343769099998,-0.002443873
12539.2,627.961,207.07370087599995,-0.0031013815
12585.3,629.4696,206.38578850400003,-0.0036840655
12631.4,631.0594,204.9180328,-0.0041983285
12677.5,632.5317,204.0816327,-0.0046479705
12723.6,634.1117,202.8397566,-0.005038894499999999
12769.7,635.6152,201.62512216399998,-0.0053780015
12815.8,637.1605,200.8032129,-0.005669494000000001
12861.9,638.5786,199.92415169600002,-0.0059182725
12908.0,640.1168,198.88636314000001,-0.006128939
12954.1,641.7591,197.859351165,-0.0063069955
13000.2,643.209,196.45594974399998,-0.006457043
13046.3,644.7232,195.45391999400002,-0.0065815825
13092.4,646.2269,194.46186394400002,-0.0066837145
13138.5,647.8028,193.479825485,-0.006766641
13184.6,649.297,192.50778125399998,-0.006833462
13230.7,650.7998,191.54524073899998,-0.006887079000000001
13276.8,652.2932,190.4761905,-0.006928092
13322.9,653.8592,189.649100123,-0.006958902
13369.0,655.3434,187.9699248,-0.0069840095
13415.1,656.9278,186.38997750099998,-0.007004516
13461.2,658.3353,184.76118499199995,-0.0070209215
13507.3,659.872,183.91493336400003,-0.0070338255
13553.4,661.4894,182.036761062,-0.007043228499999999
13599.5,662.913,179.56556193,-0.007050030499999999
13645.6,664.532,177.758955268,-0.0070563325
13691.7,666.0164,176.31405714999997,-0.007063935
13737.8,667.4878,174.89253301400004,-0.0070720375
13783.9,669.0118,173.493765638,-0.0070810405
13830.0,670.5026,172.1170396,-0.007091043500000001
13876.1,672.0673,170.58489494399998,-0.007101047
13922.2,673.5341,169.141857564,-0.0071115499999999995
13968.3,675.1111,167.83317354000002,-0.0071219535
14014.4,676.6805,166.82248194000002,-0.007133257
14060.5,678.1617,165.82375103,-0.0071469615
14106.6,679.5895,164.565811144,-0.007162566
14152.7,681.2224,163.593915459,-0.007178171
14198.8,682.616,162.36933794400002,-0.007192676
14244.9,684.2578,161.684207192,-0.0072079805
14291.0,685.7492,160.74589815,-0.0072356895
14337.1,687.2108,159.818530319,-0.0072641985
14383.2,688.7599,158.90175887599997,-0.0072778025000000005
14429.3,690.1743,158.4786054,-0.0072861055
14475.4,691.748,156.96654245000002,-0.0072933075
14521.5,693.2265,156.70301852,-0.007300109999999999
14567.6,694.8011,155.70510119600002,-0.0073061115
14613.7,696.2459,154.71023680599998,-0.0073113135
14659.8,697.8048,154.325758054,-0.007316115
14705.9,699.2491,154.3209877,-0.007319616
14752.0,700.8746,157.03616352,-0.0073208165000000006
14798.1,702.337,155.0387597,-0.0073197159999999995
14844.2,703.8887,153.74689822399998,-0.0073151145
14890.3,705.4846,152.43206371300002,-0.007307412
14936.4,706.8583,151.59792154800002,-0.007297109
14982.5,708.563,150.8295626,-0.0072841045
15028.6,709.9864,150.1501502,-0.0072689
15074.7,711.5443,149.4768311,-0.0072513945
15120.8,713.0115,148.8095238,-0.007231687999999999
15166.9,714.5577,147.9289941,-0.0072102814999999995
15213.0,716.0775,147.42745928,-0.007185973500000001
15259.1,717.5611,146.862313186,-0.0071566645
15305.2,719.0248,146.30157627199998,-0.0071220534999999995
15351.3,720.406,145.7725948,-0.0070812405
15397.4,722.1554,145.403845504,-0.0070331255
15443.5,723.4775,144.854128635,-0.006974607000000001
15489.6,725.0646,144.308485348,-0.0069018840000000005
15535.7,726.5154,143.8848921,-0.006816856999999999
15581.8,727.9996,143.2664756,-0.006723727499999999
15627.9,729.5283,142.8571429,-0.0066263965
15674.0,731.161,142.2475107,-0.0065277655
15720.1,732.7096,141.6430595,-0.006428334
15766.2,734.1689,141.2429379,-0.0063288025
